GRB , RA , Dec , Err90 , #breaks , lc type , NH_gal , Redshift , Ave_NH_wt , Ave_dNH_Wt , Ave_Gamma_WT , Ave_dgamma_WT , Ave_obs_flux_WT , d_Ave_obs_flux_WT , Ave_unabs_flux_WT , Ave_NH_PC , Ave_dNH_PC , Ave_Gamma_PC , Ave_dgamma_PC , Ave_obs_flux_PC , d_Ave_obs_flux_PC , Ave_unabs_flux_PC , Flux_11 , Flux_24 , alpha_1 , D_alpha_1, break_1 , D_break_1 , NH_1 (wt) , D_NH_1 (wt) , NH_1 (pc) , D_NH_1 (pc) , Gamma_1 (wt) , D_Gamma_1 (wt) , Gamma_1 (pc) , D_Gamma_1 (pc) , Obs Flux_1 (wt) , D_Obs Flux_1 (wt) , Unabs Flux_1 (wt) , Obs Flux_1 (pc) , D_Obs Flux_1 (pc) , Unabs Flux_1 (pc) , alpha_2 , D_alpha_2, break_2 , D_break_2 , NH_2 (wt) , D_NH_2 (wt) , NH_2 (pc) , D_NH_2 (pc) , Gamma_2 (wt) , D_Gamma_2 (wt) , Gamma_2 (pc) , D_Gamma_2 (pc) , Obs Flux_2 (wt) , D_Obs Flux_2 (wt) , Unabs Flux_2 (wt) , Obs Flux_2 (pc) , D_Obs Flux_2 (pc) , Unabs Flux_2 (pc) , alpha_3 , D_alpha_3, break_3 , D_break_3 , NH_3 (wt) , D_NH_3 (wt) , NH_3 (pc) , D_NH_3 (pc) , Gamma_3 (wt) , D_Gamma_3 (wt) , Gamma_3 (pc) , D_Gamma_3 (pc) , Obs Flux_3 (wt) , D_Obs Flux_3 (wt) , Unabs Flux_3 (wt) , Obs Flux_3 (pc) , D_Obs Flux_3 (pc) , Unabs Flux_3 (pc) , alpha_4 , D_alpha_4, break_4 , D_break_4 , NH_4 (wt) , D_NH_4 (wt) , NH_4 (pc) , D_NH_4 (pc) , Gamma_4 (wt) , D_Gamma_4 (wt) , Gamma_4 (pc) , D_Gamma_4 (pc) , Obs Flux_4 (wt) , D_Obs Flux_4 (wt) , Unabs Flux_4 (wt) , Obs Flux_4 (pc) , D_Obs Flux_4 (pc) , Unabs Flux_4 (pc) , alpha_5 , D_alpha_5, break_5 , D_break_5 , NH_5 (wt) , D_NH_5 (wt) , NH_5 (pc) , D_NH_5 (pc) , Gamma_5 (wt) , D_Gamma_5 (wt) , Gamma_5 (pc) , D_Gamma_5 (pc) , Obs Flux_5 (wt) , D_Obs Flux_5 (wt) , Unabs Flux_5 (wt) , Obs Flux_5 (pc) , D_Obs Flux_5 (pc) , Unabs Flux_5 (pc) , alpha_6 , D_alpha_6, NH_6 (wt) , D_NH_6 (wt) , NH_6 (pc) , D_NH_6 (pc) , Gamma_6 (wt) , D_Gamma_6 (wt) , Gamma_6 (pc) , D_Gamma_6 (pc) , Obs Flux_6 (wt) , D_Obs Flux_6 (wt) , Unabs Flux_6 (wt) , Obs Flux_6 (pc) , D_Obs Flux_6 (pc) , Unabs Flux_6 (pc) 
130816B,170.01743,-57.55691,2,0, TBD ,0.55, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,0.16," +0.36, -0.16",2.1," +0.47, -0.39",1.07E-12," +2.66E-13, -2.09E-13",2.00E-12,4.85E-14,2.18E-14,1," +0.11, -0.10", N/A ," , ", N/A ," , ",0.16," +0.36, -0.16", N/A ," , ",2.1," +0.47, -0.39", N/A ," , ", N/A ,1.07E-12," , ",2.00E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
130816A,197.14044,-58.94484,1.7,0, TBD ,0.53, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,0.54," +0.41, -0.32",2," +0.36, -0.33",2.47E-12," +3.97E-13, -3.38E-13",4.78E-12,3.46E-13,1.87E-13,0.79," +5.56E-2, -5.11E-2", N/A ," , ", N/A ," , ",0.54," +0.41, -0.32", N/A ," , ",2," +0.36, -0.33", N/A ," , ", N/A ,2.47E-12," , ",4.78E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
130812A,92.39584,-13.28829,1.6,0, TBD , N/A , N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,6.18E-13,3.16E-13,0.86," +2.74E-2, -2.75E-2", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
130807A,269.79955,-27.61686,2.3,2, TBD ,0.71, N/A ,1.9," +0.18, -0.17",1.6," +8.02E-2, -7.84E-2",3.01E-09," +8.80E-11, -8.54E-11",5.02E-09,1.6," +0.79, -0.67",2.3," +0.48, -0.44",1.76E-12," +3.12E-13, -2.60E-13",5.27E-12,1.03E-12,5.07E-13,1.3," +6.7, -0.10",3863," +847, -3596",1.9," +0.18, -0.17", N/A ," , ",1.6," +8.02E-2, -7.84E-2", N/A ," , ",3.01E-09," +8.80E-11, -8.54E-11",5.02E-09, N/A ," , ", N/A ,-0.5," +0.00E0, 0.16",1.38E+04," +2803, -2373", N/A ," , ",2.5," +1.7, -1.3", N/A ," , ",2.6," +0.89, -0.79", N/A ," , ", N/A ,1.99E-12," +5.97E-13, -4.40E-13",9.77E-12,0.91," +0.10, -9.14E-2", N/A ," , ", N/A ," , ",1.3," +0.84, -0.66", N/A ," , ",2," +0.49, -0.43", N/A ," , ", N/A ,2.72E-13," +5.28E-14, -4.41E-14",5.97E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
130806A,35.92854,67.53209,2.2,0, TBD ,0.54, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,0.67," +0.85, -0.59",1.7," +0.59, -0.51",6.71E-13," +1.89E-13, -1.47E-13",1.04E-12,2.56E-13,1.59E-13,0.61," +7.23E-2, -8.04E-2", N/A ," , ", N/A ," , ",0.67," +0.85, -0.59", N/A ," , ",1.7," +0.59, -0.51", N/A ," , ", N/A ,6.71E-13," , ",1.04E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
130803A,220.25267,-2.49202,1.5,0, TBD ,5.12E-02, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,1.3," +0.25, -0.23",2.4," +0.24, -0.23",4.37E-12," +4.35E-13, -3.87E-13",1.24E-11,1.08E-12,5.93E-13,0.76," +3.54E-2, -3.68E-2", N/A ," , ", N/A ," , ",1.3," +0.25, -0.23", N/A ," , ",2.4," +0.24, -0.23", N/A ," , ", N/A ,4.37E-12," , ",1.24E-11, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
130727A,330.79821,-65.53856,1.5,0, TBD ,3.08E-02, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,0.12," +4.81E-2, -4.39E-2",1.9," +0.15, -0.14",5.68E-12," +5.14E-13, -4.66E-13",7.13E-12,1.34E-12,6.19E-13,0.99," +5.05E-2, -4.73E-2", N/A ," , ", N/A ," , ",0.12," +4.81E-2, -4.39E-2", N/A ," , ",1.9," +0.15, -0.14", N/A ," , ", N/A ,5.68E-12," , ",7.13E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
130725B,214.24059,-11.12848,1.5,3, TBD ,6.36E-02, N/A ,6.69E-07," +0.14, -6.69E-7",2.5," +0.87, -0.33",5.32E-11," +1.41E-11, -8.58E-12",6.92E-11,3.52E-02," +3.75E-2, -3.40E-2",1.8," +0.13, -0.12",4.88E-12," +3.92E-13, -3.61E-13",5.75E-12,1.21E-12,3.92E-13,2.9," +5.1, -1.2",88.9," +25.3, -23.9",1.56E-09," +7.08E-2, -1.56E-9", N/A ," , ",2.8," +6.9, -0.62", N/A ," , ",6.56E-11," +3.77E-11, -2.15E-11",9.64E-11, N/A ," , ", N/A ,-1.03E-02," +0.17, -0.36",510," +139, -143",0.29," +0.69, -0.29",5.78E-02," +9.16E-2, -5.78E-2",4," +3.4, -1.6",1.8," +0.30, -0.27",3.19E-11," +1.81E-11, -1.22E-11",2.25E-10,6.45E-11," +1.25E-11, -1.03E-11",7.77E-11,0.88," +2.97E-2, -4.35E-2",4.02E+04," +1.48E4, -1.03E4", N/A ," , ",4.46E-02," +4.67E-2, -4.13E-2", N/A ," , ",1.9," +0.16, -0.15", N/A ," , ", N/A ,4.41E-12," +4.28E-13, -3.86E-13",5.33E-12,1.5," +0.34, -0.21", N/A ," , ", N/A ," , ",6.32E-05," +8.96E-2, -6.32E-5", N/A ," , ",1.6," +0.40, -0.19", N/A ," , ", N/A ,3.40E-13," +6.96E-14, -8.26E-14",3.72E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
130725A,230.03239,0.62758,2.2,0, TBD ,5.13E-02, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,3.78E-02," +0.11, -3.78E-2",2.4," +0.53, -0.39",5.31E-13," +1.38E-13, -1.10E-13",7.10E-13,1.62E-13,9.36E-14,0.7," +0.35, -0.33", N/A ," , ", N/A ," , ",3.78E-02," +0.11, -3.78E-2", N/A ," , ",2.4," +0.53, -0.39", N/A ," , ", N/A ,5.31E-13," , ",7.10E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
130722A,260.65198,-2.97293,1.4,4, TBD ,0.25, N/A ,0.35," +3.04E-2, -2.91E-2",2.1," +4.62E-2, -4.54E-2",1.75E-09," +4.00E-11, -3.91E-11",3.09E-09,0.51," +0.14, -0.13",1.9," +0.16, -0.15",7.31E-12," +5.77E-13, -5.31E-13",1.19E-11,2.85E-12,1.08E-12,5.6," +0.32, -0.36",145," +3.3, -2.5",0.54," +9.82E-2, -9.12E-2", N/A ," , ",2.1," +0.12, -0.12", N/A ," , ",3.77E-09," +2.14E-10, -2.04E-10",7.23E-09, N/A ," , ", N/A ,1.2," +3.73E-2, -3.51E-2",8974," +378, -1754",0.33," +3.23E-2, -3.08E-2",0.44," +0.32, -0.26",2.1," +5.15E-2, -5.04E-2",2," +0.37, -0.34",1.54E-09," +3.92E-11, -3.82E-11",2.72E-09,3.68E-11," +6.54E-12, -5.40E-12",6.26E-11,7," +1.0, -3.5",1.04E+04," +442, -330", N/A ," , ",0.31," +0.38, -0.28", N/A ," , ",1.6," +0.45, -0.41", N/A ," , ", N/A ,1.63E-11," +4.39E-12, -3.37E-12",2.22E-11,-1.5," +0.00E0, 1.3",1.46E+04," +3870, -899", N/A ," , ",0.54," +0.54, -0.41", N/A ," , ",1.9," +0.55, -0.50", N/A ," , ", N/A ,1.02E-11," +2.94E-12, -2.20E-12",1.68E-11,1.2," +8.33E-2, -7.64E-2", N/A ," , ", N/A ," , ",0.65," +0.20, -0.18", N/A ," , ",2," +0.21, -0.20", N/A ," , ", N/A ,1.98E-12," +1.94E-13, -1.75E-13",3.62E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
130716A,179.57371,63.05322,2.7,0, TBD ,1.63E-02, N/A ,1.95E-02," +0.55, -1.95E-2",0.85," +0.75, -0.46",3.81E-10," +1.75E-10, -1.47E-10",3.86E-10,0.27," +0.34, -0.20",2.1," +0.69, -0.56",3.73E-13," +1.43E-13, -1.02E-13",5.75E-13,1.12E-19,6.90E-21,3.6," +0.30, -0.23", N/A ," , ",1.95E-02," +0.55, -1.95E-2",0.27," +0.34, -0.20",0.85," +0.75, -0.46",2.1," +0.69, -0.56",3.81E-10," , ",3.86E-10,3.73E-13," , ",5.75E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
130702A,217.31154,15.77406,1.6,1, TBD ,1.83E-02,0.145, N/A ," , ", N/A ," , ", N/A ," , ", N/A ,4.88E-02," +4.27E-2, -3.95E-2",1.8," +0.13, -0.12",1.14E-11," +9.60E-13, -8.75E-13",1.25E-11,1.77E-11,1.13E-11,0.58," +0.22, -1.2",1.58E+05," +4.03E4, -4.52E4", N/A ," , ",5.97E-02," +3.62E-2, -3.40E-2", N/A ," , ",1.8," +0.11, -0.11", N/A ," , ", N/A ,1.03E-11," +7.27E-13, -6.75E-13",1.16E-11,1.2," +2.90E-2, -2.75E-2", N/A ," , ", N/A ," , ",0.14," +3.11E-2, -2.96E-2", N/A ," , ",1.8," +7.69E-2, -7.54E-2", N/A ," , ", N/A ,3.63E-13," +1.76E-14, -1.67E-14",4.36E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
130701A,357.22936,36.10034,1.7,2, TBD ,9.20E-02,1.155,6.12E-02," +9.77E-2, -6.12E-2",2.1," +7.77E-2, -7.46E-2",5.45E-10," +2.58E-11, -2.46E-11",6.85E-10,0.17," +0.19, -0.17",1.8," +0.12, -0.12",5.36E-12," +4.49E-13, -4.11E-13",6.35E-12,1.10E-12,4.10E-13,2.4," +0.32, -0.51",113," +22.4, -5.8",0.33," +0.25, -0.23", N/A ," , ",2.5," +0.21, -0.19", N/A ," , ",8.69E-10," +9.21E-11, -8.36E-11",1.37E-09, N/A ," , ", N/A ,0.89," +0.13, -0.18",767," +1090, -309",1.93E-02," +0.11, -1.93E-2", N/A ," , ",2," +8.56E-2, -6.47E-2", N/A ," , ",4.99E-10," +2.43E-11, -2.55E-11",6.08E-10, N/A ," , ", N/A ,1.3," +4.53E-2, -4.46E-2", N/A ," , ", N/A ," , ",0.17," +0.19, -0.17", N/A ," , ",1.8," +0.12, -0.12", N/A ," , ", N/A ,5.36E-12," +4.49E-13, -4.11E-13",6.35E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
130627B,181.9111517,-55.70052372,4.9,0, TBD ,0.32, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,1.87E-07," +0.45, -1.87E-7",1.2," +0.89, -0.60",6.29E-13," +3.90E-13, -3.05E-13",7.15E-13, N/A , N/A , N/A ," , ", N/A ," , ", N/A ," , ",1.87E-07," +0.45, -1.87E-7", N/A ," , ",1.2," +0.89, -0.60", N/A ," , ", N/A ,6.29E-13," , ",7.15E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
130627A,184.41527,-37.08679,1.6,0, TBD ,0.11, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,0.39," +0.15, -0.13",2.3," +0.29, -0.27",2.06E-12," +3.08E-13, -2.63E-13",4.03E-12,4.89E-13,2.47E-13,0.87," +0.14, -0.13", N/A ," , ", N/A ," , ",0.39," +0.15, -0.13", N/A ," , ",2.3," +0.29, -0.27", N/A ," , ", N/A ,2.06E-12," , ",4.03E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
130625A,343.278,82.1743,2.4,0, TBD ,0.18, N/A ,0.31," +0.33, -0.23",2.8," +0.94, -0.40",1.31E-10," +4.41E-11, -3.40E-11",4.07E-10,0.46," +0.44, -0.31",2," +0.58, -0.51",1.97E-12," +6.17E-13, -4.61E-13",3.40E-12,2.30E-15,4.94E-16,2," +0.20, -0.17", N/A ," , ",0.31," +0.33, -0.23",0.46," +0.44, -0.31",2.8," +0.94, -0.40",2," +0.58, -0.51",1.31E-10," , ",4.07E-10,1.97E-12," , ",3.40E-12, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
130623A,20.85807826,-77.77311401,5.9,0, TBD ,6.47E-02, N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ,2.51E-06," +0.24, -2.51E-6",1.6," +1.1, -0.91",1.20E-13," +1.81E-13, -6.25E-14",1.38E-13, N/A , N/A , N/A ," , ", N/A ," , ", N/A ," , ",2.51E-06," +0.24, -2.51E-6", N/A ," , ",1.6," +1.1, -0.91", N/A ," , ", N/A ,1.20E-13," , ",1.38E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
130615A,274.82966,-68.16111,2.3,1, TBD ,0.12, N/A ,7.62E-02," +1.11E-2, -1.08E-2",1.9," +3.09E-2, -3.05E-2",2.04E-09," +3.59E-11, -3.53E-11",2.68E-09,1.04E-07," +2.74E-2, -1.04E-7",2," +0.14, -0.12",1.71E-12," +1.65E-13, -1.70E-13",2.08E-12,2.07E-13,1.20E-13,2.9," +6.82E-2, -6.30E-2",2009," +346, -294",7.62E-02," +1.11E-2, -1.08E-2",9.71E-12," +1.86E-2, -9.71E-12",1.9," +3.09E-2, -3.05E-2",2.1," +0.15, -0.13",2.04E-09," +3.59E-11, -3.53E-11",2.68E-09,1.39E-11," +1.74E-12, -1.32E-12",1.62E-11,0.69," +0.13, -0.12", N/A ," , ", N/A ," , ",9.48E-02," +0.17, -9.48E-2", N/A ," , ",2.1," +0.47, -0.40", N/A ," , ", N/A ,1.68E-13," +4.34E-14, -3.38E-14",2.46E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
130612A,259.7943,16.71994,1.7,0, TBD ,7.61E-02,2.006,0.54," +4.1, -0.54",1.7," +0.57, -0.37",5.91E-11," +2.05E-11, -1.69E-11",6.80E-11,1.2," +1.0, -0.85",2.1," +0.27, -0.26",4.72E-13," +8.33E-14, -6.89E-14",6.47E-13,1.17E-13,5.24E-14,1," +5.80E-2, -5.58E-2", N/A ," , ",0.54," +4.1, -0.54",1.2," +1.0, -0.85",1.7," +0.57, -0.37",2.1," +0.27, -0.26",5.91E-11," , ",6.80E-11,4.72E-13," , ",6.47E-13, N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A , N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A ," , ", N/A , N/A ," , ", N/A 
